© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities	diabetic complication	Diabetic complication	6,74E-03	4,40E-01	 	 	CD19,CD52,CD53,CD79A,CHI3L2,CORO1A,CRIP1,CTSH,CXCR3,CXCR4,DBI,DHRS9,DUSP1,FCMR,FCRL5,FGD2,FKBP1A,GLUL,HOPX,IKZF3,LCP1,LIMD2,LSP1,MEF2C,MS4A1,MT2A,MYO1G,NCKAP1L,NCOA4,OAS1,PLAC8,PNOC,PYCARD,RAC2,SIGLEC6,SREK1,TCF4,TMSB10/TMSB4X,TNF,TSC22D3,VIM,ZEB2	42
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell movement	Cell movement of mononuclear leukocytes	6,85E-03	4,45E-01	Decreased	-2,412	ACTB,ANXA2,CD19,CD47,CD99,COMMD8,CORO1A,CUX1,CXCR3,CXCR4,DBNL,DUSP1,FABP5,GNAI2,HCK,HMOX1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,MALT1,MAP4K1,MYO1G,NCKAP1L,PFN1,PIKFYVE,PPIA,PSMB8,PYCARD,RAC1,RAC2,RAP1B,RASGRP1,RHOA,SUMO1,TCIRG1,TLN1,TNF,TNFRSF1B,TRAPPC1,UCP2,VASP,WIPF1,ZDHHC12	47
Cellular Movement	cell movement	Cell movement of prostate cancer cell lines	7,04E-03	4,54E-01	 	-0,732	ANXA2,CD82,CD99,CTSH,CXCR4,GRN,HHEX,HMOX1,LCP1,NCOA3,PAK2,RAC1,S100A11,SMARCC1,TLN1,TNF,VIM	17
Cell Death and Survival	apoptosis	Apoptosis	7,16E-03	4,54E-01	Increased	3,294	ANXA2,ANXA4,ARHGDIB,ARL6IP5,BLOC1S2,BTG1,CAPNS1,CD19,CD47,CD53,CD82,CD99,CDK2AP1,CFL1,CIB1,CKS2,CNN2,CORO1A,COX5A,CRIP1,CSK,CTSH,CUX1,CXCR3,CXCR4,CYBA,CYTOR,DDAH2,DDX17,DECR1,DENR,DUSP1,DYNLL1,EEA1,EEF1A1,EEF1B2,EHD3,EIF4A1,EIF6,EMP3,FCMR,FGR,FKBP1A,FLNA,GAPDH,GLRX,GNAI2,GNG5,GOLPH3,GPI,GRN,GSN,H1-2,HCK,HCST,HLA-DQB1,HMGA1,HMOX1,HSH2D,HSPA4,IGF2BP3,IKZF3,ILK,ITGB2,JAK1,LAMTOR5,LAPTM5,LSP1,MAD1L1,MALT1,MAP4K1,MEF2A,MEF2C,MIEN1,MRPL52,MS4A1,MT2A,MTCH2,MTMR14,MTSS1,NAA38,NCKAP1L,NCOA3,NCOA4,NDUFV2,NME1,NME2,NOP53,OAS1,OGT,PAK2,PARK7,PARP1,PCLAF,PEA15,PFN1,PKM,PLAC8,PPIA,PPP1CA,PRDX1,PRDX5,PSAP,PSMA5,PSMB8,PSMD4,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RAC2,RHOA,RHOG,RNF141,S100A11,SAMHD1,SAT1,SERPINB1,SF3B6,SH3BGRL3,SLC25A5,SMARCC1,SMARCE1,SNRPD1,SPI1,SRA1,SRPK2,SUB1,SUMO1,SUMO2,SYK,TAF10,TAGLN2,TCF4,TCIRG1,TERF2IP,TESC,TKT,TLE1,TLE5,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPT1,TRAPPC1,TSC22D3,TSPO,TXNIP,UCP2,UGCG,VASP,VCP,VDAC1,VIM,YBX1,YWHAE,ZBTB32,ZEB2,ZFAND6	162
Cell Morphology,Cellular Function and Maintenance	transmembrane potential	Transmembrane potential of mitochondria	7,20E-03	4,54E-01	 	-0,312	CD47,CLIC1,DYNLL1,GSN,HSPA4,MRPL52,MTCH2,NDUFAB1,OGT,PARK7,PARP1,PKM,PTPN6,PYCARD,RAC1,RAC2,TNF,TSPO,UCP2,VCP,VDAC1,VIM,YWHAE	23
Cellular Movement	migration	Migration of vascular cells	7,22E-03	4,54E-01	 	-1,547	ANXA2,CD47,CD82,CNN2,CYTOR,GLUL,HHEX,HMOX1,PKM,PPIA,PTPN1,PTPN6,RAC1,RHOA,TAGLN2,TMSB10/TMSB4X,TNF,WASF2	18
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	neuromuscular disease	Neuromuscular disease	7,22E-03	4,54E-01	 	 	ACTB,ANXA2,AP1S2,ARHGDIB,ARL6IP5,ATP2B1,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1E,ATP5MF,ATP5MK,ATP5PB,ATP5PF,CAPNS1,CAPZB,CD19,CD47,CD52,CD68,COX5A,COX5B,COX8A,CXCR3,DBNL,EEF1A1,FDFT1,FDPS,FKBP1A,FTL,GAPDH,GOLPH3,GPI,H3-3A/H3-3B,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSBP1,IDS,LAT2,LY6E,MALT1,MRPS34,MS4A1,MT2A,MYL12A,NCOA3,NDUFA7,NDUFAB1,NDUFB2,NDUFS6,NDUFV2,NEAT1,NME1,OAS1,PARK7,PARP1,PDHB,PDLIM1,PFN1,PKM,PLEK,PPIA,PSAP,PSMA2,PSMB8,PTPRC,RASGRP2,RHOG,S100A10,SAT1,SEPTIN6,SPTAN1,SRM,SUB1,TESC,TNF,TPI1,TPM3,TPT1,TSC22D3,TSPO,UCP2,UGCG,UQCR11,UQCRH,VCP,VIM	90
Infectious Diseases,Organismal Injury and Abnormalities	infection	Infection by coronavirus	7,30E-03	4,54E-01	Decreased	-2,390	ACTB,ACTR2,ACTR3,AP1S2,BLOC1S1,CFL1,DECR1,DUSP1,EEA1,EEF1A1,FLNA,GAPDH,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQB1,HLA-DRA,JAK1,PFN1,PKM,PLAC8,PLEK,PPIA,PSMB8,SAT1,SYK,TAGLN2,TNF,TNFRSF1B,TPT1,TSPO,TXNIP,VCP,YWHAE	34
Embryonic Development,Hematological System Development and Function,Humoral Immune Response,Lymphoid Tissue Structure and Development,Organ Development,Organismal Development,Tissue Development	formation	Formation of germinal center	7,35E-03	4,54E-01	 	-1,633	CD19,GRB2,LCP1,MALT1,MEF2C,POU2F2,PTPN1,TCF4,TNF,WIPF1	10
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	migration	Migration of monocytes	7,35E-03	4,54E-01	Decreased	-2,216	ANXA2,CD47,CD99,ITGAX,ITGB2,JAK1,NCKAP1L,RAC2,RHOA,TNF	10
Cell Death and Survival	cell viability	Cell viability of lymphatic system cells	7,35E-03	4,54E-01	Decreased	-3,880	CD19,CD47,CD79A,CHD4,FCMR,HCK,HSH2D,LAT2,MALT1,MEF2C,PTPN6,PTPRC,PYCARD,RAC1,RAC2,SYK,TNF,TNFRSF1B,TSC22D3,WIPF1,ZEB2	21
Cellular Movement	homing	Homing of leukemia cell lines	8,21E-03	4,93E-01	 	-0,988	ANXA2,CD82,CSK,CXCR4,MS4A1,PPIA,TNF	7
Infectious Diseases,Organismal Injury and Abnormalities	infectivity	Infectivity of virus	8,21E-03	4,93E-01	 	0,640	ANXA2,CXCR4,HCK,PPIA,SAMHD1,SUMO1,TNF	7
Cardiovascular Disease,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	Wegener granulomatosis	Wegener granulomatosis	8,21E-03	4,93E-01	 	 	CD52,FDPS,JAK1,MS4A1,OSTF1,TNF,UGCG	7
Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	motor dysfunction	Motor dysfunction	8,21E-03	4,93E-01	 	0,555	ADD3,FDPS,GRN,OGT,PKM,PSMF1,SUB1	7
Cellular Movement	dissemination	Dissemination of cells	8,21E-03	4,93E-01	 	-1,508	ANXA2,BTG1,CD47,CXCR4,PREX1,PYCARD,RHOA	7
Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities	oral cancer	Oral cancer	8,53E-03	5,02E-01	 	 	ADD3,ATP5MF,ATP5PF,CDK2AP1,CHD4,CTSH,CYTOR,DUSP1,FABP5,FDFT1,FGD2,FUT8,GPI,GRN,H3-3A/H3-3B,HLA-DQA1,HVCN1,ITGAX,LCP1,LSP1,LY6E,MALT1,MEF2A,MEF2C,MTSS1,NCKAP1L,NCOA3,NEAT1,OAZ1,PARP1,PKM,POLR2L,PPP1CA,PREX1,PSMB8,PTPRC,RAP1B,SAT1,SERF2,SLC44A2,SMARCC1,SRA1,TLN1,TNF,UNC93B1,WASF2,ZDHHC21,ZEB2	48
Cell-mediated Immune Response,Lymphoid Tissue Structure and Development	frequency	Frequency of T lymphocytes	8,77E-03	5,02E-01	 	-0,722	HLA-DQB1,NDUFB2,PARK7,PARP1,PTPN22,PTPN6,RASGRP1,SERPINB1,TNF,UNC93B1,ZEB2	11
Organismal Functions,Organismal Injury and Abnormalities,Tissue Morphology	healing	Healing of wound	8,77E-03	5,02E-01	 	 	CNN2,GRN,GSN,ILK,ITGB2,PARP1,RAC1,RAC2,TNF,TNFRSF1B,VIM	11
Cellular Movement	transmigration	Transmigration of myeloid cells	8,77E-03	5,02E-01	Decreased	-2,428	CD47,CD99,CNN2,GNAI2,ITGB2,LSP1,PREX1,PTPN6,RASGRP2,RHOA,TNF	11
Organismal Injury and Abnormalities	visceromegaly	Visceromegaly	8,84E-03	5,02E-01	 	 	ATP2A3,CAPNS1,CD19,CD47,CIB1,CUX1,DUSP1,EHD3,FDFT1,FKBP1A,GNAI2,GRB2,GRN,GSN,HCK,HLA-DQA1,HMGA1,HMOX1,HOPX,IKZF3,ILK,ITGB2,JAK1,LAT2,LITAF,LY6E,MALT1,MEF2A,MEF2C,MTPN,NDUFS6,PARK7,PARP1,PFN1,PLD4,PPIA,PPP1CA,PRDX1,PTPN22,PTPN6,PTPRC,RAC1,RASGRP1,RHOA,S100A10,SCP2,SPI1,SPTAN1,TLN1,TNF,TNFRSF1B,TPI1,UNC93B1,VDAC1,WIPF1,ZEB2	56
Inflammatory Response,Organismal Injury and Abnormalities	inflammation	Inflammation of organ	9,18E-03	5,02E-01	Increased	2,402	ACTB,ADK,ANXA4,ARHGDIB,BCAS4,CAPZB,CD19,CD47,CD53,CD68,CD79A,CD99,CFL1,CHD4,CORO1A,COTL1,CSK,CXCR3,CXCR4,DDX17,DHRS9,DUSP1,EEF1A1,EHD3,FABP5,FDFT1,FDPS,FGR,FKBP1A,FLNA,GAPDH,GNAI2,GRN,GSN,H3-3A/H3-3B,HCK,HCST,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,IFI30,IKZF3,ITGAX,ITGB2,ITGB7,JAK1,JPT1,LAPTM5,MALT1,MAP4K1,MAZ,MS4A1,NEDD8,OAS1,OGT,PARK7,PARP1,PDLIM1,PIKFYVE,PKM,PPIA,PRDX1,PREX1,PSAP,PSMB2,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RFTN1,RHOA,S100A10,S100A11,SCP2,SERPINB1,SIGLEC10,SPI1,SYK,TCF4,TKT,TNF,TNFRSF1B,TPI1,TPM3,TSPO,UNC93B1,VCP,VIM,VSIR,WIPF1,YBX1,ZBTB32,ZYX	98
Organismal Development	abnormal morphology	Abnormal morphology of body cavity	9,29E-03	5,02E-01	 	 	ARHGDIB,ARID3A,ATP2A3,CAPNS1,CD19,CD47,CIB1,CUX1,CXCR4,DBNL,DUSP1,EHD3,FDFT1,FKBP1A,FLNA,FUT8,GNAI2,GNG5,GRB2,GRN,GSN,H1-2,HCK,HCST,HHEX,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,HOPX,IDS,IKZF3,ILK,ITGB2,ITGB7,JAK1,LITAF,LY6E,MALT1,MEF2A,MEF2C,MFSD1,MTMR14,MTPN,MTSS1,NDUFS6,PARK7,PARP1,PFN1,PLD4,PPIA,PPP1CA,PRDX1,PREX1,PSAP,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RASGRP1,RHOA,S100A10,SCP2,SPI1,SPTAN1,SYK,SYTL1,TCIRG1,TLN1,TNF,TNFRSF1B,TPI1,TSC22D3,TXNIP,UNC93B1,VDAC1,WASF2,WIPF1,YBX1,YWHAE,ZEB2	83
Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Inflammatory Response,Organismal Injury and Abnormalities	atopic dermatitis	Atopic dermatitis	9,41E-03	5,02E-01	 	 	CAPZB,CFL1,CXCR4,DUSP1,EEF1A1,FABP5,FGR,FKBP1A,FLNA,GSN,H3-3A/H3-3B,HCK,HLA-DQA1,HLA-DRA,IFI30,ITGB7,JAK1,JPT1,PPIA,PSAP,S100A11,SPI1,SYK,TNF,TPI1,TPM3,VCP,ZYX	28
Gene Expression	transcription	Transcription	9,54E-03	5,02E-01	Decreased	-4,164	ACTG1,ACTR2,ACTR3,ANXA2,ANXA4,ARID3A,BTG1,CD19,CD82,CDK2AP1,CHD4,CKS2,CNN2,CTSH,CUX1,CXCR4,DDX17,ELOB,FGR,FLNA,FUT8,GRN,GSN,GTF2A2,GTF3C6,H1-2,HHEX,HMGA1,HOPX,HSBP1,IKZF3,ILK,ITGAX,JAK1,LAMTOR5,LBH,LITAF,MAD1L1,MALT1,MAZ,MEF2A,MEF2C,MTCH2,NCOA3,NCOA4,NEDD8,NME1,NME2,NOP53,OGT,PAK2,PARK7,PARP1,PARP15,PDLIM1,PEA15,PFDN5,PFN1,PLAC8,POLR2E,POLR2G,POLR2L,POU2F2,PSMB2,PTPN22,PTPN6,PTPRC,RAC1,RASGRP1,RHOA,RHOG,RNF141,S100A10,SLC44A2,SMARCC1,SMARCE1,SPI1,SRA1,SRPK2,SUB1,SUMO1,SUMO2,SUPT4H1,SYK,TAF10,TAGLN2,TCF4,TCIRG1,TERF2IP,TESC,TLE1,TLE5,TNF,TNFRSF1B,TSC22D3,TXNIP,UBE2L3,VIM,VSIR,YBX1,YWHAH,ZBTB32,ZEB2	103
Inflammatory Disease,Organismal Injury and Abnormalities	chronic inflammatory disorder	Chronic inflammatory disorder	9,68E-03	5,02E-01	 	-0,013	ADK,ANXA4,ARHGDIB,ATP2B1,CD19,CD52,CD53,CD68,CD79A,COTL1,CXCR3,CXCR4,CYBA,DHRS9,DUSP1,DYNLL1,FDFT1,FDPS,FGR,FKBP1A,GLUL,GOLPH3,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,IKZF3,ITGB2,ITGB7,JAK1,LAPTM5,LBH,LCP1,LY6E,MAZ,MRPS36,MS4A1,MYL12A,PARP1,PDLIM1,PKM,POLR2L,PPIA,PPP1R7,PRDX1,PRDX5,PSMB2,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAB1B,RHOA,RTF2,S100A10,SF3B6,SUMO1,SYK,TALDO1,TCF4,TCIRG1,TLE1,TNF,TNFRSF1B,TPI1,TSPO,VIM	76
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	homing	Homing of leukocytes	9,70E-03	5,02E-01	Decreased	-2,884	CD47,CORO1A,CUX1,CXCR3,CXCR4,DUSP1,FGR,GNAI2,GRN,GSN,HCK,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,NCKAP1L,PFN1,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,RAP1B,RHOA,SERPINB1,SPI1,SUMO1,SYK,TMSB10/TMSB4X,TNF,WIPF1	35
Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	chronic leukemia	Chronic leukemia	9,70E-03	5,02E-01	 	 	ARL6IP5,CD52,CFL1,CSK,CUX1,DUSP1,FCMR,FGR,FKBP1A,HCK,HLA-DQA1,HVCN1,IKZF3,ITGAX,ITGB2,MRPL51,MS4A1,MTMR14,PARP1,PPIA,PPM1M,PPP1CA,PTPN1,PTPN18,PTPN22,PTPN6,PTPRC,RFTN1,SLC25A5,SPI1,SYK,TERF2IP,TNF,TSPO,ZYX	35
Connective Tissue Disorders,Dermatological Diseases and Conditions,Inflammatory Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders	scleroderma	Scleroderma	9,77E-03	5,02E-01	 	 	ACTB,ACTR3,ARPC3,ARPC5,CD19,CD79A,CFL1,CIB1,CKS2,CXCR4,DHRS9,FGR,FIBP,HCK,ILK,ITGB2,ITGB7,JAK1,MS4A1,PARP1,PKM,RAC1,RAC2,RHOA,SPI1,TPI1,VIM	27
Cellular Function and Maintenance,Small Molecule Biochemistry	homeostasis	Homeostasis of ion	9,89E-03	5,02E-01	 	 	ATP2A3,ATP2B1,ATP6V0D1,CYB561A3,FTL,HMOX1,MT2A,MTMR14,NCOA4,TCIRG1,TESC,TSC22D3	12
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of heart ventricle	9,89E-03	5,02E-01	 	 	CAPNS1,CXCR4,FKBP1A,GNG5,HHEX,HMOX1,LY6E,MEF2A,MEF2C,TNF,TXNIP,YWHAE	12
Cellular Movement	homing	Homing of lymphoma cell lines	1,00E-02	5,02E-01	 	0,152	CXCR3,ITGB7,MS4A1,MTSS1,TNF	5
Cellular Assembly and Organization,Cellular Function and Maintenance,Organismal Development	secretion	Secretion of alpha granules	1,00E-02	5,02E-01	 	-1,387	FLNA,PTPN22,RAP1B,RHOA,RHOG	5
Cell-To-Cell Signaling and Interaction,Hematological System Development and Function	activation	Activation of leukocyte cell lines	1,00E-02	5,02E-01	 	-0,692	CFL1,LSP1,MS4A1,SPI1,TNF	5
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of peripheral blood leukocytes	1,00E-02	5,02E-01	 	-1,387	CXCR3,CXCR4,LCP1,PPIA,TNF	5
Cellular Assembly and Organization,Cellular Compromise	disruption	Disruption of filaments	1,00E-02	5,02E-01	 	-1,982	GSN,SEPTIN7,TMSB10/TMSB4X,TNF,VIM	5
Cell Cycle	oncogene-induced senescence	Oncogene-induced senescence of cells	1,00E-02	5,02E-01	 	 	GABARAPL2,HMGA1,OGT,PARP1,SPI1	5
Cardiovascular System Development and Function,Embryonic Development,Organismal Development,Tissue Development	development	Development of outflow tract	1,00E-02	5,02E-01	 	 	CFL1,FLNA,HHEX,ILK,MEF2C	5
Cellular Assembly and Organization	stabilization	Stabilization of actin filaments	1,00E-02	5,02E-01	Decreased	-2,184	CFL1,FLNA,GSN,VASP,WIPF1	5
Cell-To-Cell Signaling and Interaction,Cellular Assembly and Organization,Tissue Development	adhesion	Adhesion of cell-associated matrix	1,00E-02	5,02E-01	 	 	ITGB2,ITGB7,PARVG,RHOA,ZYX	5
Cardiovascular Disease,Cardiovascular System Development and Function,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of right ventricle	1,00E-02	5,02E-01	 	 	CXCR4,FKBP1A,GNG5,HMOX1,MEF2A	5
Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities	metastatic papillary thyroid cancer	Metastatic papillary thyroid carcinoma	1,00E-02	5,02E-01	 	 	FGR,JAK1,LIMD2,PTPRC,S100A11	5
Cellular Movement	cell movement	Arrest in cell movement	1,00E-02	5,02E-01	 	 	GNAI2,ITGB2,ITGB7,TLN1,TNF	5
Cardiovascular System Development and Function,Tissue Morphology	permeability	Permeability of blood vessel	1,00E-02	5,02E-01	 	0,314	GSN,LSP1,PLAC8,TNF,UCP2	5
Cellular Assembly and Organization,Cellular Compromise	depolymerization	Depolymerization of actin filaments	1,00E-02	5,02E-01	 	-1,960	CAP1,CFL1,GSN,PLEK,WDR1	5
Cell Morphology,Nervous System Development and Function,Organismal Development,Tissue Morphology	morphology	Morphology of astrocytes	1,00E-02	5,02E-01	 	 	PEA15,PSAP,RHOA,SPI1,VIM	5
Developmental Disorder,Hereditary Disorder,Lipid Metabolism,Metabolic Disease,Organismal Injury and Abnormalities,Small Molecule Biochemistry	Niemann-Pick disease type C	Niemann-Pick disease type C	1,00E-02	5,02E-01	 	 	CD47,CD68,GRN,ITGAX,UGCG	5
Cellular Function and Maintenance,Molecular Transport,Small Molecule Biochemistry	homeostasis	Homeostasis of iron ion	1,00E-02	5,02E-01	 	 	ATP6V0D1,CYB561A3,FTL,HMOX1,NCOA4	5
Cell Death and Survival,Embryonic Development	cell viability	Cell viability of embryonic cells	1,00E-02	5,02E-01	 	1,114	HMGA1,NOP53,OGT,PARP1,TNF	5
Hematological Disease,Organismal Injury and Abnormalities	microcytosis	Microcytosis	1,00E-02	5,02E-01	 	1,342	HMOX1,PRDX1,RAC1,RAC2,TNF	5
Behavior	grooming	Grooming	1,00E-02	5,02E-01	 	1,732	GRN,HMOX1,PREX1,TCF4,TNF	5
Organismal Injury and Abnormalities,Renal and Urological Disease	damage	Damage of renal glomerulus	1,00E-02	5,02E-01	 	1,406	CXCR3,CXCR4,FKBP1A,GRN,TXNIP	5
Cardiovascular System Development and Function,Cellular Movement	cell movement	Cell movement of endothelial cells	1,01E-02	5,02E-01	Decreased	-2,280	ANXA2,ATP5F1A,ATP5F1B,CD82,CNN2,CXCR4,CYTOR,FLNA,GLUL,GPI,GRN,HHEX,MEF2C,MTSS1,PKM,PTPN1,PTPN6,RAC1,RAP1B,RHOA,SEPTIN7,TAGLN2,TMSB10/TMSB4X,TNF,VASP,VIM	26
Endocrine System Disorders,Gastrointestinal Disease,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease	diabetic nephropathy	Diabetic nephropathy	1,01E-02	5,02E-01	 	 	CD19,CD52,CD53,CD79A,CHI3L2,CORO1A,CRIP1,CTSH,CXCR3,CXCR4,DHRS9,DUSP1,FCMR,FCRL5,FGD2,FKBP1A,GLUL,HOPX,IKZF3,LCP1,LIMD2,LSP1,MEF2C,MS4A1,MT2A,MYO1G,NCKAP1L,NCOA4,OAS1,PLAC8,PNOC,PYCARD,RAC2,SIGLEC6,SREK1,TCF4,TMSB10/TMSB4X,TSC22D3,VIM,ZEB2	40
Cell-To-Cell Signaling and Interaction	adhesion	Adhesion of tumor cell lines	1,02E-02	5,02E-01	Decreased	-2,229	ADD3,ANXA2,CD47,CD82,CD99,CSK,CXCR3,CXCR4,FLNA,GLRX,GOLPH3,ILK,ITGAX,ITGB2,LY6E,MAD1L1,MS4A1,NME1,PAK2,PARP1,PARVG,PKM,PREX1,PSMD4,PTPN6,RAC1,RASGRP2,RHOA,SPTAN1,TLN1,TNF,YBX1,ZEB2,ZYX	34
Cellular Movement	cellular infiltration	Cellular infiltration by myeloid cells	1,05E-02	5,02E-01	 	-1,628	ANXA2,CD47,CORO1A,DUSP1,HCK,HMOX1,ILK,ITGB2,MALT1,PARP1,PIKFYVE,PKM,PPIA,PREX1,PSMB8,PTPN1,PTPN6,RAC2,S100A10,SPI1,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	25
Cellular Development,Cellular Growth and Proliferation	proliferation	Proliferation of prostate cancer cell lines	1,05E-02	5,02E-01	Decreased	-2,325	CD99,CXCR3,DYNLL1,EIF4A1,FABP5,FDFT1,FDPS,GRN,HMOX1,IDS,ILK,LCP1,NCOA3,NCOA4,OGT,PARP1,RAC1,RHOA,SAT1,SMARCC1,SRM,SUMO2,TCIRG1,TNF,YBX1	25
Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities	function	Abnormal function of neutrophils	1,07E-02	5,02E-01	 	 	CD47,CD82,FGR,GNAI2,HCK,ITGB2,LCP1,PLAC8,RAC2,RASGRP2,SERPINB1,SYK,TNF	13
Cell Death and Survival,Hematological System Development and Function,Organismal Injury and Abnormalities	cell viability	Cell viability of B lymphocytes	1,07E-02	5,02E-01	Decreased	-2,880	CD19,CD47,CD79A,CHD4,FCMR,HCK,HSH2D,MALT1,MEF2C,SYK,TNF,TSC22D3,WIPF1	13
Molecular Transport	transport	Transport of metal	1,07E-02	5,02E-01	 	-1,095	ATP2A3,ATP2B1,ATP6V0D1,CORO1A,CYB561A3,FTL,HMOX1,MT2A,NCOA4,VDAC1,YWHAB,YWHAE,YWHAH	13
Hematological System Development and Function,Lymphoid Tissue Structure and Development,Tissue Morphology	morphology	Morphology of lymphoid tissue	1,07E-02	5,02E-01	 	 	ARHGDIB,ARL6IP5,CD19,CD47,CUX1,CXCR4,DBNL,GNAI2,H1-2,HCK,HCST,HLA-DQA1,HLA-DQB1,HMGA1,HMOX1,HSH2D,IDS,IKZF3,ITGB2,ITGB7,JAK1,LCP1,MAD1L1,MALT1,PARP1,PLD4,PRDX1,PSAP,PTPN22,PTPN6,PTPRC,PTPRCAP,PYCARD,RASGRP1,SPI1,SYK,TCIRG1,TNF,TNFRSF1B,TSC22D3,TXNIP,UNC93B1,WIPF1,ZEB2	44
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell movement	Cell movement of macrophages	1,08E-02	5,02E-01	Decreased	-2,390	CNN2,CXCR3,CXCR4,FLNA,GNAI2,GSN,HCK,HMOX1,ITGB2,LITAF,NCKAP1L,PARP1,PFN1,PSMB8,PTPN1,PTPN6,RAC1,RAC2,RHOA,S100A10,TNF,VASP,YBX1,ZDHHC12	24
Cancer,Organismal Injury and Abnormalities,Respiratory Disease	advanced lung cancer	Advanced lung cancer	1,08E-02	5,02E-01	 	0,194	ANXA2,CXCR4,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,IFI30,JAK1,MYL12A,NCOA3,NEDD8,PARP1,PDLIM1,PPIA,RAC1,RHOA,TMSB10/TMSB4X,TNF,TPT1,YWHAE,ZEB2	24
Organismal Injury and Abnormalities	sclerosis	Sclerosis	1,11E-02	5,02E-01	 	 	ACTB,ARPC3,CD19,CD79A,CFL1,CIB1,CKS2,CXCR4,DHRS9,FGR,FIBP,HCK,IDS,ILK,ITGB2,ITGB7,JAK1,MS4A1,PARP1,PKM,RAC2,RHOA,TPI1	23
Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders	progressive parkinsonism	Progressive parkinsonism	1,11E-02	5,02E-01	 	 	ANXA2,AP1S2,ARHGDIB,ARL6IP5,CAPZB,DBNL,EEF1A1,FTL,GRN,H3-3A/H3-3B,HLA-DQA1,HLA-DRA,MEF2C,NDUFV2,NEAT1,PARK7,PSAP,S100A10,TNF,TPT1,TSPO,VCP,VIM	23
Free Radical Scavenging	production	Production of superoxide	1,13E-02	5,02E-01	Decreased	-2,127	CYBA,DBI,FGR,HCK,HVCN1,ILK,ITGAX,ITGB2,PSMB8,RAC1,RAC2,SPI1,TNF,UCP2	14
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell movement	Cell movement of monocytes	1,13E-02	5,02E-01	 	-1,787	ANXA2,CD47,CD99,CXCR4,DUSP1,ITGAX,ITGB2,JAK1,NCKAP1L,PPIA,RAC2,RHOA,TNF,VASP	14
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Hematological System Development and Function,Inflammatory Response	phagocytosis	Phagocytosis by macrophages	1,13E-02	5,02E-01	Decreased	-2,460	CD47,CNN2,FGR,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,NCKAP1L,PTPRC,SPI1,TNF,UCP2	14
Cell Morphology,Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking	cell spreading	Cell spreading of leukocytes	1,13E-02	5,02E-01	Decreased	-2,377	CD19,CD47,CNN2,CORO1A,FGR,HCK,ITGB2,MAP4K1,RAC1,RAP1B,RHOA,SYK,TLN1,TNF	14
